filename,description,file_type
DVC PROJECT- L2 SCHEDULE -- MAY-23 UPDATE.pdf,"This document is a Project Schedule Update Report, with the specific update month mentioned in the file name. It presents Level-2 schedules covering engineering, procurement, civil, mechanical, and commissioning activities. The report includes Gantt charts, milestones, and critical path tracking to show planned vs. actual timelines and highlight delays, completed tasks, and revised targets. It serves as a time-control tool for monitoring overall project execution.",Project Schedule
DVC PROJECT- L2 SCHEDULE -- NOV-24 UPDATE.pdf,"This document is a Project Schedule Update Report, with the specific update month mentioned in the file name. It presents Level-2 schedules covering engineering, procurement, civil, mechanical, and commissioning activities. The report includes Gantt charts, milestones, and critical path tracking to show planned vs. actual timelines and highlight delays, completed tasks, and revised targets. It serves as a time-control tool for monitoring overall project execution.",Project Schedule
DVC PROJECT- L2 SCHEDULE -BASELINE 2-- AUG-22.pdf,"This document is a Project Baseline Schedule Report, with the baseline version and month indicated in the file name. It defines the Level-2 schedules for engineering, procurement, civil, mechanical, and commissioning activities, along with milestones and critical paths. The report serves as the reference plan against which actual progress and subsequent schedule updates are monitored throughout the project lifecycle.",Project Schedule
DVC PROJECT- L2 SCHEDULE -BASELINE 2-- FEB-23.pdf,"This document is a Project Baseline Schedule Report, with the baseline version and month indicated in the file name. It defines the Level-2 schedules for engineering, procurement, civil, mechanical, and commissioning activities, along with milestones and critical paths. The report serves as the reference plan against which actual progress and subsequent schedule updates are monitored throughout the project lifecycle.",Project Schedule
DVC PROJECT- L2 SCHEDULE -BASELINE 2--COVID IMPACT WITH COVID ...,"This document is a Project Baseline Schedule Report, with the baseline version and month indicated in the file name. It defines the Level-2 schedules for engineering, procurement, civil, mechanical, and commissioning activities, along with milestones and critical paths. The report serves as the reference plan against which actual progress and subsequent schedule updates are monitored throughout the project lifecycle.",Project Schedule
DVC-01_MPR Oct'2019.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-30_MPR MAY'2022.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-31_MPR JUN'2022.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-32_MPR JUL'2022.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-33_MPR Aug'2022.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-34_MPR Sep'2022.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-35_MPR Oct'2022. pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-36_MPR Nov'2022.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-37_MPR Dec'2022.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-38_MPR Jan'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-39_MPR Feb'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-40_MPR Mar'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-41_MPR Apr'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-42_MPR May'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-43_MPR Jun'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-44_MPR Jul'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-45_MPR Aug'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-46_MPR Sep'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-47_MPR Oct'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-48_MPR Nov'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-49_MPR Dec'2023.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
DVC-50_MPR Jan'2024.pdf,"This document is a Monthly Project Report for the Flue Gas Desulphurization (FGD) system package at Koderma Thermal Power Station (2 × 500 MW) under the Damodar Valley Corporation, prepared by Thermax Ltd. The specific reporting month is indicated in the file name itself. The file contains project scope, contract details, performance guarantees, and milestones achieved in the given month. It also provides updates on engineering progress, procurement activities, site development, quality assurance, and vendor approvals, along with pending tasks and required support from both Thermax and DVC. In addition, it captures schedule performance through planned vs. actual comparisons. Supporting attachments include a document control index, S-curves, and site photographs, making it a comprehensive monthly record of project status and action items for stakeholders.",Monthly Progress Report
