filename,Subfolder,description,file_type
ATTACHMENT 3A3,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,Detailed past project references for FGD or allied power sector projects executed by Thermax and partners. Establishes bidder’s technical capability. ,Supporting Document
Attachment 3A3_Annexure 1 to Att 3A3,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Annexure 1–5 (to Att 3A3): Supporting documents such as completion certificates, client references, performance records, and contractual proofs for the listed projects.",Supporting Document
Attachment 3A3_Annexure 2 to Att 3A3,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Annexure 1–5 (to Att 3A3): Supporting documents such as completion certificates, client references, performance records, and contractual proofs for the listed projects.",Supporting Document
Attachment 3A3_Annexure 3 to Att 3A3,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Annexure 1–5 (to Att 3A3): Supporting documents such as completion certificates, client references, performance records, and contractual proofs for the listed projects.",Supporting Document
Attachment 3A3_Annexure 4 to Att 3A3,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Annexure 1–5 (to Att 3A3): Supporting documents such as completion certificates, client references, performance records, and contractual proofs for the listed projects.",Supporting Document
Attachment 3A3_Annexure 5 to Att 3A3,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Annexure 1–5 (to Att 3A3): Supporting documents such as completion certificates, client references, performance records, and contractual proofs for the listed projects.",Supporting Document
ATTACHMENT 3A7,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,Compliance data for environmental control systems and FGD process guarantees. Lists design and operating parameters offered by Thermax.,Supporting Document
Attachment 3A7_Annexure 2,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Annexure I, II, III (to Att 3A7): Detailed calculations, performance modeling, and supporting documentation for design criteria.",Supporting Document
Attachment 3A7_Annexure 3,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Annexure I, II, III (to Att 3A7): Detailed calculations, performance modeling, and supporting documentation for design criteria.",Supporting Document
Attachment 3A7_Annexure I,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Annexure I, II, III (to Att 3A7): Detailed calculations, performance modeling, and supporting documentation for design criteria.",Supporting Document
ATTACHMENT 3A8,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,Schedules of FGD system auxiliaries and balance equipment performance. Highlights efficiency data and operational reliability guarantees.,Supporting Document
ATTACHMENT 3B_MET,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Vendor credentials and technical documentation for Marsulex Environmental Technologies (MET), Thermax’s technical collaborator. Demonstrates experience in wet limestone FGD systems.",Supporting Document
ATTACHMENT 3B_TL,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Vendor references and credentials for Thermax Limited (TL). Establishes EPC capability, Indian execution experience, and plant installation records.",Supporting Document
ATTACHMENT 3C,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,Detailed compliance schedule for emission norms. Shows bidder’s ability to meet SO? emission guarantees as per tender.,Supporting Document
ATTACHMENT 3C_Annexure I & II,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Annexure I & II (to Att 3C): Performance calculations, modeling data, and emissions control methodology.",Supporting Document
Attachment 3D,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Compliance schedule for FGD auxiliary power consumption. Lists projected auxiliary load for absorbers, pumps, fans, and other systems, ensuring it meets tender limits.",Supporting Document
Attachment 3E,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Schedule of water balance and consumption. Provides details on make-up water requirements, recirculation, and wastewater discharge control.",Supporting Document
Attachment 3F,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Schedule of limestone consumption and quality. Specifies reagent utilization rates, purity requirements, and projected limestone usage for FGD operation.",Supporting Document
Attachment 3G,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Schedule for gypsum generation, handling, and quality. Lists expected gypsum purity, by-product quantities, and disposal/marketability potential.",Supporting Document
Attachment 3H,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Schedule of warranty and guarantee commitments. Defines performance guarantees, availability, reliability, and penalties for non-compliance.",Supporting Document
Attachment 3H_Annexure I,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Supporting annexure to Attachment 3H. It provides detailed schedules of guarantee commitments and warranty obligations, including performance guarantee testing methods, monitoring procedures, and rectification obligations.",Supporting Document
Attachment 3I,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,Schedule for by-product utilization and disposal plans. Details how generated gypsum and waste streams will be managed per environmental norms.,Supporting Document
Attachment 3J,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Schedule of compliance with statutory and regulatory requirements. Includes pollution control clearances, statutory standards, and bidder’s responsibility for obtaining approvals.",Supporting Document
Attachment 4_4a,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Thermax’s safety, health, and environment (SHE) compliance statement. Outlines procedures, safety standards, and occupational health measures during project execution.",Supporting Document
Attachment 5,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Project organization structure and key personnel details. Lists names, roles, and qualifications of project managers, engineers, and QA/QC representatives.",Supporting Document
Attachment 6,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Schedule of financial capability and supporting statements. Shows turnover, net worth, and financial stability of Thermax to execute the contract.",Supporting Document
Attachment 6_Annexure I,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,Detailed audited financial statements and banker’s certificates.,Supporting Document
Attachment 9,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Schedule of experience and technical competence of the bidder. Lists major FGD or allied EPC projects executed in India and abroad, highlighting relevance to DVC’s requirements.",Supporting Document
Attachment 11_11A,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Technical schedules related to FGD design criteria, guarantees, and process parameters. Includes design data sheets, system sizing, and compliance declarations.",Supporting Document
Attachment 12,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"FGD system scope of supply and division of responsibilities. Lists equipment, systems, and deliverables covered under the EPC scope.",Supporting Document
Attachment 12_KTPS_2X500 MW,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Project-specific version of Attachment 12 tailored for KTPS 2×500 MW units. It details engineering scope, subsystem coverage, and equipment lists for the DVC site.",Supporting Document
Attachment 14,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Deviation statement listing clarifications and exceptions to tender clauses. It specifies areas where Thermax sought commercial or technical relaxation, subject to DVC’s approval.",Supporting Document
ATTACHMENT 15,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Quality Assurance Program (QAP) outlining Thermax’s QA methodology, inspection plan, testing standards, and third-party certifications for FGD equipment and subsystems.",Supporting Document
Attachment 16,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Project Execution Schedule providing preliminary timelines for engineering, procurement, delivery, erection, and commissioning activities. Serves as the baseline for contract scheduling.",Supporting Document
Attachment 17,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Organizational structure & manpower plan proposed by Thermax for execution, covering project management, site coordination, engineering, and QA/QC teams.",Supporting Document
Attachment 18,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"List of sub-vendors and sub-contractors proposed for major packages. Contains details of approved suppliers for critical equipment, subject to DVC clearance.",Supporting Document
Attachment 19,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"O&M (Operation & Maintenance) scope and staffing plan for the FGD system post-commissioning. Covers spares, consumables, and training support offered by Thermax.",Supporting Document
Attachment 20,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Mandatory spares and commissioning spares list, identifying critical spare parts to be supplied with the package for reliable commissioning and early operation",Supporting Document
Attachment 21,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Details of special tools, tackles, and testing equipment to be supplied under the contract. Ensures readiness for erection, commissioning, and O&M activities",Supporting Document
Attachment 23,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,Schedule of mandatory consumables and recommended O&M spares. Lists spare parts to be kept available during initial operation for reliability and performance assurance.,Supporting Document
Envelope2(Technocommercail Bid),Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"The compiled Techno-Commercial Bid submission, containing all attachments, compliance schedules, and supporting annexures. Serves as the formal unpriced bid response from Thermax to DVC.",Techno-Commercial Bid (Envelope-2)
Envelope3A (Acceptance of Price Schedules),Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Declaration of acceptance of price schedules. Confirms Thermax’s compliance with tendered price structure, unit rate methodology, and format, without including the actual prices (unpriced bid stage).",Price Bid (Envelope-3)
